investor_id,total_transactions,first_txn,last_txn,max_gap_days,avg_gap_days,at_risk_gap_count,total_invested,avg_sip_amount,is_at_risk,risk_tier
INV000001,3,2024-11-04,2025-01-19,71.0,38.0,1,237429,79143.0,True,High Risk
INV000002,6,2024-03-29,2025-05-17,114.0,82.8,4,681325,113554.16666666667,True,Churned
INV000003,2,2024-07-16,2025-03-11,238.0,238.0,1,17861,8930.5,True,Churned
INV000004,9,2024-03-16,2025-05-17,265.0,53.375,3,476881,52986.77777777778,True,Churned
INV000005,8,2024-04-27,2025-04-26,167.0,52.0,2,1398173,174771.625,True,Churned
INV000006,6,2024-01-02,2025-05-11,295.0,99.0,3,374177,62362.833333333336,True,Churned
INV000007,5,2024-01-03,2025-02-24,177.0,104.5,3,82420,16484.0,True,Churned
INV000008,8,2024-05-27,2025-05-14,107.0,50.285714285714285,5,948979,118622.375,True,Churned
INV000009,7,2024-01-10,2025-05-09,162.0,80.83333333333333,5,581851,83121.57142857143,True,Churned
INV000010,11,2024-04-11,2025-03-05,121.0,32.8,3,1321472,120133.81818181818,True,Churned
INV000011,11,2024-01-03,2025-03-30,122.0,45.2,5,1099634,99966.72727272728,True,Churned
INV000012,11,2024-03-12,2025-04-30,104.0,41.4,5,954446,86767.81818181818,True,Churned
INV000013,10,2024-04-18,2025-03-16,99.0,36.888888888888886,3,865449,86544.9,True,Churned
INV000014,11,2024-02-12,2025-05-28,119.0,47.1,5,1060830,96439.09090909091,True,Churned
INV000015,2,2025-01-05,2025-05-12,127.0,127.0,1,265612,132806.0,True,Churned
INV000016,3,2024-06-18,2024-12-10,122.0,87.5,2,655227,218409.0,True,Churned
INV000017,4,2024-02-23,2025-03-23,264.0,131.33333333333334,3,805968,201492.0,True,Churned
INV000018,4,2024-05-29,2025-04-25,234.0,110.33333333333333,3,420620,105155.0,True,Churned
INV000019,4,2024-01-17,2025-03-02,406.0,136.66666666666666,1,218987,54746.75,True,Churned
